code,year,Manip,Readty,Analy,Turn,Roe,Lev,Size,Comstate,Roc,PE,PS,Eps,Opps,Rps,Ncfops,IO,MO,ED,Beta,PB,sector,TOPSalary,Readty_predicted,Readty2,Lnma,Equity,Same,Digital,Big4
sz.000676,2014,1,14.19067707,0,311.187647,-0.483091,0.7615,628927180.1,0,1.2541,-562.7586,5.8287,-0.07,-0.12,0.75,-0.1,30.72,0,2.6911,0.98247,8.957752667,I,13.93400534,11.62392042,14.67233884,0.693147181,0,0,0,0
sz.000678,2014,1,14.08136253,0,370.454694,0.005956,0.5097,2242024826,128000000,0.5643,938.5714,3.0674,0,-0.02,0.65,-0.25,52.2959,0.0011,1.9175,1.19609,2.14419475,C,13.74937182,11.52043463,14.55344106,0.693147181,1,1,0,0
sz.000680,2014,1,15.87881067,0,699.761277,0.011398,0.5978,11210769100,285828101,1.3742,-33.9937,0.9243,0.03,-0.02,4.86,0.49,30.4891,0.0106,1.0678,1.25963,1.1637355,C,14.31628645,12.00228104,16.37207673,0.693147181,1,0,0,0
sz.000681,2014,0,12.82080034,2.079441542,865.598032,0.104339,0.0926,1523704748,0,0.6879,432.8172,53.6472,0.1,0.13,0.41,0.04,15.4165,7.4274,1.2376,0.88887,6.42880225,R,14.48354555,12.03658304,13.27254521,0,0,0,1,0
sz.000683,2014,0,19.50264252,0.693147181,374.467302,0.034406,0.5622,19530031211,0,0.2431,45.8136,1.1869,0.13,0.29,3.9,0.83,48.8966,0.0002,0.6856,1.08026,0.792678,C,13.61376273,11.36217936,20.00724501,0,0,0,0,0
sz.000685,2014,0,11.77084483,1.945910149,292.831545,0.100074,0.233,9955405356,120375426,0.9569,26.193,16.5196,0.64,0.71,1.1,0.35,70.9188,0,1.8825,1.35979,1.53226375,D,14.97144823,12.50515046,12.26829035,0,1,0,0,0
sz.000697,2014,0,12.74197051,1.386294361,821.583443,0.057977,0.0941,1573090415,19553594,0.9331,146.459,43.6212,0.08,0.1,0.29,0.02,30.3701,24.7559,0.9477,1.52994,7.8157475,C,13.46012193,11.27773491,13.20829262,0,0,1,0,0
sz.000698,2014,1,11.94286998,0.693147181,282.873048,0.006026,0.5884,7540786417,33800000,0.3325,203.6,0.3194,-0.12,-0.17,11.35,-0.31,34.57,0.0045,0.3217,0.74367,0.94325975,C,13.64472342,11.34506804,12.42864163,0.693147181,1,0,0,1
sz.000703,2014,1,12.44789337,1.098612289,513.589964,-0.070132,0.7376,26732500714,0,0.2072,30.9035,0.3388,0.01,0.03,19.2,1.6,74.737,0,0.2439,0.89863,1.19810975,C,14.64532839,12.29678952,12.93298369,0.693147181,0,0,0,0
sz.000708,2014,0,12.42287039,2.564949357,336.380632,0.080801,0.3401,5027502343,0,0.7165,18.5283,0.5964,0.5,0.58,12.57,0.54,60.7461,0,0.5121,0.94116,1.0931085,C,14.49911283,12.07221684,12.90434949,0,1,0,0,1
sz.000711,2014,1,15.34992615,0,446.67364,-0.283725,0.7411,1229598072,0,1.1514,-47.8889,32.9142,-0.2,-0.19,0.34,-0.17,41.3407,0,2.8218,1.03045,4.88778,E,13.37234514,11.23188793,15.81868306,0.693147181,0,1,0,0
sz.000725,2014,1,11.14719986,1.098612289,409.565977,0.033644,0.4351,1.3624E+11,10833598231,0.5628,21,3.5108,0.05,0.05,0.74,0.13,72.4915,0.0074,0.928,0.85205,1.01891775,C,15.45063591,12.95712189,11.62560857,0.693147181,1,1,0,1
sz.000726,2014,1,12.83222243,3.091042453,319.778949,0.145509,0.1868,8627671394,0,0.1387,11.7826,1.7689,0.74,1.4,8.14,0.88,39.9468,0.1959,2.7266,0.70745,1.399173,C,15.93753267,13.10633941,13.30126243,0.693147181,0,0,0,0
sz.000729,2014,1,11.98587764,3.044522438,150.227626,0.059269,0.2933,18930650877,11306780,-0.0136,34.2981,1.6329,0.33,0.41,4.36,0.78,77.0058,0.0137,2.9577,0.77152,1.47659475,C,14.71972911,12.25285598,12.4648985,0.693147181,1,0,1,0
sz.000737,2014,1,16.99461605,0,350.88577,0.087336,0.8875,3055406568,0,0.0356,-14.261,0.9892,-0.28,-0.28,3.59,0.26,35.0982,0.004,2.4951,0.92134,11.97276525,C,12.95157743,10.81159519,17.48322227,0.693147181,1,0,0,0
sz.000762,2014,0,13.52185385,1.791759469,492.991904,-0.054534,0.2542,2663535031,0,0.268,542.1053,8.8664,0.01,0,0.29,-0.16,29.2392,0.0057,2.2286,1.00496,3.131094,B,14.13795703,11.7572123,14.01252367,0,1,0,0,0
sz.000768,2014,0,13.54089467,2.48490665,297.561124,0.029522,0.6206,34046919010,314024069,0.9853,103.724,2.9078,0.05,0.05,2.17,-1.08,70.1038,0,1.5517,1.17139,2.85138425,C,14.40329778,12.11063581,14.01922355,0,1,0,0,0
sz.000777,2014,1,11.61486954,1.609437912,1202.033747,0.067049,0.3906,1822071104,0,1.9624,165.3228,11.5398,0.04,0.04,0.71,-0.14,28.2252,0.02,1.1733,1.35935,6.017825,C,14.08393412,11.90420793,12.09277025,0.693147181,1,0,0,0
sz.000778,2014,2,14.57815909,2.197224577,340.64771,0.050275,0.6677,53275445619,0,0.4553,19.6995,0.357,0.04,-0.03,4.02,0.3,53.9586,0.0444,0.3479,0.76398,0.933751,C,13.91806805,11.62349095,15.07037034,1.098612289,1,0,0,0
sz.000779,2014,0,11.50761677,0,336.240454,0.035297,0.5969,706402701.9,26318168,0.0558,-265.4971,7.3874,0.03,0.03,1.14,-0.01,23.1433,0,5.9632,0.68093,6.191729,M,12.79386209,10.58708993,11.99358358,0,1,0,0,0
sz.000782,2014,0,11.48274527,0.693147181,304.221114,-0.184236,0.4968,2543372352,0,0.9639,-135.3443,1.0877,-0.07,-0.09,4.78,0.63,44.91,0.0008,0.9734,0.85232,2.33451775,C,14.1057152,11.78222339,11.95403806,0,0,1,0,0
